latitude,longitude,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,city_encoded,state_encoded,category_encoded,funding_efficiency,investor_strength,milestone_speed,network_funding_ratio,is_top_state,log_funding
42.35888,-71.05682,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,1,173,2,19,93750.0,2,0.5292405398253507,0.21684629776545958,1,12.834683971615659
37.238916,-121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,1,108,2,8,8020000.0,6,0.12491412154144027,0.4863054516007508,1,17.50688691721445
32.901049,-117.192656,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,1,173,2,34,1300000.0,1,0.8138351983723296,0.3170371506116835,1,14.77102238760702
37.320309,-122.05004,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,1,55,2,30,10000000.0,3,0.14280206206177617,0.27020615053947955,1,17.50439003707821
37.779281,-122.419236,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,0,174,2,11,433333.3333333333,5,0.9090909090909091,0.1326446811317345,1,14.077875591662238
37.406914,-122.09037,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,125,2,20,3750000.0,1,0.166591700401486,0.17824873775322345,1,15.830413711839864
37.3915589,-122.0702643,1.7205,5.211,3.0,6.6082,6,3,26000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,1,125,2,30,6500000.0,5,0.5,0.3319757896343964,1,17.073607134447293
42.712207,-73.203599,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,1,214,12,18,2412500.0,5,0.44417300538559773,0.7610141322049545,1,16.082468576942105
37.427235,-122.145783,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,1,143,2,34,1437500.0,6,1.0209811628975445,0.8451702145192999,1,15.564710586686562
37.452992,-122.185098,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,0,117,2,34,1733333.3333333333,6,1.8181818181818181,0.46627338363357507,1,16.15731646026544
38.241467,-85.72451099999998,4.9041,4.9041,2.5205,4.4767,0,1,350000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,109,11,34,175000.0,3,0.0,0.0,0,12.765691290604371
40.70276,-73.98666800000002,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,1,32,23,7,2487500.0,3,1.6717748676511563,0.8765223552207534,1,16.11308320963728
39.74627279999999,-104.9911572,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,1,58,3,30,1783333.3333333333,2,0.10164254350300862,0.6982527345418438,0,16.185754392890075
38.901301,-77.265158,6.6082,6.6082,2.5205,4.4767,0,1,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,203,31,24,100000.0,3,0.0,0.0,0,12.206077645517674
37.39628270000001,-122.105531,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,0,106,2,27,8166666.666666667,7,0.15381302488694742,0.42763984091695195,1,17.707330876483063
37.590339,-122.341715,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,1,34,2,11,5000000.0,4,2.727272727272727,0.388147388875822,1,17.034386422832473
40.730646,-73.986614,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,1,135,23,34,1143750.0,3,1.3129677447590704,0.6121405539068658,1,15.336117475270969
37.446411,-122.16054,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,0,143,2,8,9333333.333333334,2,0.7339090442057881,0.7163436237347247,1,17.147715103853763
30.2350399,-97.80012990000002,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,1,13,29,30,1451666.6666666667,3,0.5896574090453447,0.4911942562541339,0,15.286835397889838
47.6026054,-122.2848651,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,0,184,32,22,7500000.0,1,0.21049529543014714,0.17119808181876678,0,16.52356082573315
37.426316,-122.141082,5.4904,5.4904,0.0,0.0,1,1,3170000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,143,2,34,1585000.0,1,0.9090909090909091,0.06262037804377575,1,14.969242461310827
37.764395,-122.401024,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,0,174,2,18,766666.6666666666,3,0.6388551715326135,0.25561685910972215,1,14.648420115681892
40.010492,-105.276843,0.2521,0.337,2.5205,4.4767,5,2,455000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,0,29,3,24,151666.66666666666,3,0.0,0.3564286023375149,0,13.02805489573287
41.875555,-87.624421,4.8411,4.8411,1.0,1.0,3,1,13000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,1,48,9,30,6500000.0,1,0.5,0.17260762956335107,0,16.380459992348886
37.429676,-122.1085482,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1,143,2,24,7500000.0,1,0.24983136382941515,0.3994621909104558,1,16.52356082573315
37.870102,-122.268136,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,1,19,2,23,1900000.0,1,0.6788559015206372,0.12383508423061453,1,15.150511887854474
33.708708,-117.852069,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,1,179,2,12,500000.0,3,0.940733772342427,0.3374841280665974,1,13.815511557963774
37.422859,-122.045217,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,0,122,2,22,3500000.0,2,0.18123165029540758,0.17475504967319186,1,16.166885910365842
47.603832,-122.330062,4.1534,5.1671,3.0,3.0,6,2,8600000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,1,184,32,24,2866666.6666666665,4,0.25,0.35362194286127757,0,15.967272877502799
36.002893,-78.904075,-0.1671,2.0192,2.5205,4.4767,9,2,5000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,0,61,18,30,1666666.6666666667,2,0.0,0.5479469178628321,0,15.424948670398354
37.779281,-122.419236,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,1,174,2,18,768333.0,3,1.4147273113107448,0.19168604911254278,1,14.650591234412886
40.441694,-79.990086,0.0822,0.0822,2.5205,4.4767,2,1,25000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,149,26,27,12500.0,2,0.0,0.17974828063819584,0,10.12667110305036
40.73901,-73.997259,2.6575,2.6575,0.0,0.0,1,1,4000000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,135,23,30,2000000.0,1,0.9090909090909091,0.06172151742129169,1,15.201805169084134
37.791137,-122.391843,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,0,174,2,30,4866666.666666667,2,1.5,0.45723346369728013,1,16.496532155171714
37.404788,-121.940842,1.063,5.7014,2.5205,4.4767,0,3,44000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,0,176,2,12,11000000.0,2,0.0,0.0,1,17.599700214609808
37.7795014,-122.3948712,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,1,174,2,6,455730.5,3,1.86543962193757,0.6486787270873967,1,14.41595181469963
40.755446,-73.980246,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,1,135,23,0,3739375.125,8,1.0328231187126893,0.9882578142915033,1,17.213870651662358
42.99564,-71.454789,0.0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,112,19,18,41666.666666666664,2,1.262945188178833,0.7066540182283092,0,11.736077016252437
40.01573320000001,-105.275027,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,0,117,2,33,1333333.3333333333,4,0.6003301815998799,0.4320506219490418,1,15.201805169084134
47.63609,-122.327028,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,1,184,32,8,5000000.0,1,0.4504301608035674,0.5841771272625447,0,16.118095750958314
37.36883,-122.03635,2.6247,2.6247,2.5205,4.4767,4,1,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,1,191,2,30,12500000.0,1,0.0,0.22179850792904113,1,17.034386422832473
40.730646,-73.986614,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,1,135,23,9,937500.0,3,1.636750504664739,0.12393672618583673,1,15.137266664613225
42.3751,-71.105616,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,37,12,30,1500000.0,1,0.9443762394938143,0.5655353988544042,1,14.914123179965662
