Feature,Mean_SHAP
relationships,0.06792872331597741
network_funding_ratio,0.053143851449621374
milestones,0.04116402450517337
age_last_milestone_year,0.029486225264428432
log_funding,0.02706733367091213
funding_rounds,0.022570949013609395
funding_total_usd,0.022415931130945237
milestone_speed,0.018815415734007596
age_last_funding_year,0.018476365928964098
avg_participants,0.01817164177474715
funding_efficiency,0.015017788891674237
age_first_milestone_year,0.01396299661122678
age_first_funding_year,0.01206178793908658
has_roundB,0.010750315201364347
has_VC,0.00855081007979735
longitude,0.008133540973252907
latitude,0.006632216185219803
is_top_state,0.006274065402754407
category_encoded,0.006048866154075147
city_encoded,0.005011989196262658
has_roundA,0.003927337980445893
investor_strength,0.003824862533251458
is_otherstate,0.003762347054269472
state_encoded,0.0031521850556883863
has_roundC,0.0022452552926030107
is_software,0.002236355634456265
is_othercategory,0.002095220676608149
is_NY,0.0017376780657631554
has_roundD,0.0017251895995176335
has_angel,0.0015077527848951792
is_CA,0.0012345521459603825
is_web,0.0012338900419618807
is_mobile,0.0011475456672382677
is_TX,0.0010009955902702192
is_enterprise,0.000996892764681386
is_MA,0.0009058824654126246
is_gamesvideo,0.0008604540079962172
is_biotech,0.0005557768656310913
is_ecommerce,0.00045538462060430647
is_advertising,0.00035840680390535767
is_consulting,1.0629856947088652e-05
